R  ARG 	241
W  TRP 	259 
Y  TYR 	229
K  LYS 	211
F  PHE 	218
M  MET 	204
Q  GLN 	189
H  HIS 	194
E  GLU 	183
L  LEU 	180
I  ILE 	182
N  ASN 	158
D  ASP 	151
C  CYS 	140
V  VAL 	160
T  THR 	146
P  PRO 	143
S  SER 	122
A  ALA 	113
G  GLY 	85 
