305	45	89	61	81
306	86	117	85	137
307	124	132	108	149
308	105	174	127	163
309	140	211	147	209
310	171	215	174	234
311	217	248	200	287
312	251	288	191	291
313	273	327	212	358
314	255	392	253	362
315	318	415	298	441
316	345	469	324	448
317	382	523	367	529
318	418	563	391	556
319	454	595	430	600
320	498	693	462	676
321	525	721	499	712
322	573	772	563	768
323	581	842	598	842
324	629	847	591	851
325	669	927	635	921
326	715	984	679	973
327	744	1039	720	1034
328	763	1078	757	1093
329	835	1134	758	1114
330	839	1184	817	1173
331	865	1200	850	1202
332	909	1258	859	1271
333	909	1279	890	1262
334	937	1304	924	1323
335	958	1309	925	1324
336	973	1349	931	1333
337	952	1335	943	1370
338	978	1392	946	1382
339	988	1363	939	1367
340	976	1372	979	1381
341	999	1382	961	1372
342	974	1375	940	1373
343	970	1361	948	1359
344	958	1362	916	1346
345	967	1351	951	1373
346	927	1339	922	1322
347	940	1296	933	1318
348	921	1305	917	1310
349	895	1294	922	1284
350	900	1270	885	1271
351	889	1248	868	1256
352	862	1226	859	1239
353	860	1238	836	1229
354	850	1194	836	1177
355	822	1204	817	1193
356	797	1160	788	1149
357	787	1131	765	1103
358	781	1098	762	1089
359	754	1083	728	1053
360	728	1056	724	1038
361	711	1012	700	1015
362	694	985	677	978
363	687	967	661	959
364	647	930	632	925
365	636	908	618	915
366	613	879	603	883
367	593	850	584	856
368	579	840	574	819
369	563	813	547	810
370	539	782	525	773
